ID,SentDate,report_type_id,ClickCount,DesktopClicks,DesktopOpens,Devices,EngagedReads,Ignored,Interactions,LinksClicked,LinksSent,Messages,MobileOpens,MobileClicks,MobileUnique,MultipleOpens,MultipleResponses,MultipleClicks,MultipleReads,NewOpens,NonUniqueClicks,NonUniqueOpens,Oof,OpenCount,OptOutCount,OptIns,ReadCount,ReadRate,Recipients,ReplyCount,Sent,Skimmed,UndeliverableCount,OpenRate,ReadsRate,ClickRate,AttentionRate,EffectiveRate,EngagementRate,UndeliverableRate,OofRate,OptOutRate,MultipleOpenRate,MultipleReadRate,ContentUtilization,EngagedReadRate,IgnoredRate,SkimmedRate,ForwardRate,ReplyRate,LeftOpen
245,2018-04-18T12:41:30.9300000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2018-04-18T13:10:02.0900000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2018-04-18T13:10:20.8470000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2018-04-18T13:13:03.2300000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2018-04-18T15:04:44.1270000+00:00,8,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,3333,0,0,3,0,0,0,3333,0,0,0,3333,0,0,0,0,0,0,0,3333,0,0,3333,0,0,0,0,1
250,2018-04-18T15:27:31.2130000+00:00,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,3333,0,0,0,3333,0,0,0,0,0,0,0,0,0,0,0,3333,0,0,1
251,2018-04-18T15:40:02.2270000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,389,0,0,0,0,0,0,0,7796,0,0,0,0,0,0,0,0,0,0,0
252,2018-04-18T15:45:41.7800000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,99,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0
255,2018-04-18T17:00:43.7670000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,2018-04-18T17:16:01.1530000+00:00,8,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,-0,25,0,0,0,1
257,2018-04-18T17:16:31.3400000+00:00,8,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,3333,0,0,3,0,0,0,3333,0,0,0,3333,0,0,0,0,0,0,0,3333,0,0,3333,0,0,0,0,1
260,2018-04-18T17:36:02.9800000+00:00,8,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,-0,25,0,0,0,1
261,2018-04-18T17:36:33.1070000+00:00,8,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,1,0,0,1,0,3333,0,0,3,0,0,0,3333,0,0,0,3333,0,0,0,0,0,0,0,3333,0,0,3333,0,0,0,0,1
262,2018-04-18T17:59:15.2130000+00:00,8,0,0,2,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,9,0,0,0,2222,0,0,0,0,0,0,0,0,0,0,0,0,-0,2222,0,0,0,0
263,2018-04-18T18:02:10.3070000+00:00,8,0,0,3,4,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,3,0,0,1,0,1667,0,0,6,0,0,0,5,0,0,0,1667,0,0,0,0,0,0,0,1667,0,0,1667,-0,3333,0,0,0,1
264,2018-04-18T18:02:49.8770000+00:00,8,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
265,2018-04-18T18:07:20.4030000+00:00,8,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,-0,25,0,0,0,1
266,2018-04-18T18:07:10.6730000+00:00,8,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,9,1,0,0,2222,0,0,0,1111,0,0,0,0,0,0,0,0,0,-0,1111,0,1111,0,0,0
267,2018-04-18T18:26:36.8130000+00:00,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
268,2018-04-18T18:26:36.8130000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
