Source,Target,Group Source,Group Target
SCCI HOLDINGS PTE. LTD.,SINGAPORE BUSINESS NETWORK,201833314R,53377966M
SCCI HOLDINGS PTE. LTD.,"SINGAPORE CHAMBER OF COMMERCE & INDUSTRY	",201833314R,53382972X
SCCI HOLDINGS PTE. LTD.,,201833314R,
SEE BOON HUAT,JUMBO GROUP LIMITED,SG978A,201503401Z
SEEDS CAPITAL PTE LTD,BIOLIDICS LIMITED.,200108060H,200913076M
SEEDS CAPITAL PTE. LTD.,,200108060H,
SENGKANG 266 FOOD HOUSE PTE. LTD.,,201107445E,
SG BUSINESS NETWORK,,53377782L,
SHAKEY'S HOLDINGS PTE LTD,,199005272E,
SHINE VENTURE CAPITAL PTE. LTD.,HC SURGICAL SPECIALISTS LIMITED,201626304G,201533429G
SHINY HAND CAR WASH LIMITED,,09347931,
SIM SAI GIN,JUMBO GROUP LIMITED,SG098F,201503401Z
SINGAPORE BUSINESS NETWORK,,53377966M,
"SINGAPORE CHAMBER OF BUSINESS	",,53387969L,
"SINGAPORE CHAMBER OF COMMERCE & INDUSTRY	",,53382972X,
SINGAPORE CHILLI CRAB PTE. LTD.,,201724809E,
SINGAPORE FACEBOOK NETWORK,,53386976E,
SINGAPORE INSTITUTE OF ADVANCED MEDICINE HOLDINGS PTE. LTD.,CLEARBRIDGE HEALTH LIMITED,201134046D,201001436C
SINGAPORE PROPERTY NETWORK,,53385070C,
SOH KIAN THIAM ,KATRINA GROUP LTD.,SG419A,201608344N
SOH SAI KIANG,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG374C,200411055E
SPHINX FRONTIER LTD.,ATLANTIC ROTTERDAM LIMITED,BVISPHINXF,38033
SPIZE EVENTS PTE. LTD.,,200718144C,
SPRING EQUITY INVESTMENTS,SEEDS CAPITAL PTE. LTD.,200711501C,200108060H
STORE TO BUY,,53132469M,
STRAITS ORGANIZATION PTE. LTD.,,201736152C,
STRIDE GROUP LLP,,T14LL0186D,
SUASANA JUARA SDN. BHD.,,1001136-V,
SUM CHEE WHO,KS ENERGY LIMITED,198300104GSCW,198300104G
SUNFIELD PTE. LTD.,KS ENERGY LIMITED,200301324W,198300104G
SUPERIOR CARBONTECH AND SOLUTIONS SDN. BHD.,,1161633-D,
SUPERIOR STRUCTURE SDN. BHD.,,217720-K,
TAL CAPITAL PTE LTD,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,,200411055E
TAMPINES WEST FOOD COURT PTE. LTD.,,201406363H,
TAN AH LYE,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG053Z,200411055E
TAN BAN SER,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG028H,200411055E
TAN CHAI PENG,KS ENERGY LIMITED,SG835B,198300104G
TAN CHONG MENG,CNMC GOLDMINE HOLDINGS LIMITED,SGUnknown,201119104K
TAN CHOON HUAT,AIRE-MAX ASIA PTE. LTD.,SG330J,201817870K
TAN GEE JIAN,JUMBO GROUP LIMITED,SG408I,201503401Z
TAN KAY TOH,KS ENERGY LIMITED,SG597I,198300104G
TAN KAY TOH OR YU HEA RYEONG ,KATRINA GROUP LTD.,SG597I,201608344N
TAN LEE MENG,MEDINEX LIMITED,SG732B,200900689W
TAN SIANG HIN,KOPITIAM INVESTMENT PTE. LTD.,SG952D,199302777N
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,ASCOT SPORTS SDN. BHD.,MY5779,116517-U
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,B & B ENTERPRISE SDN. BHD.,MY5780,67761-A
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,BAYU UNTUNG SDN. BHD.,MY5781,1027934-A
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,BERJAYA MEDIA BERHAD,MY5782,290601-T
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,BERJAYA RESOURCE HOLDINGS SDN. BHD.,MY5783,001805506-V
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,BERJAYA VTCY SDN. BHD.,MY5784,26929-U
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,BSNC CORPORATION BERHAD,MY5785,23877-T
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,CARDIFF CITY FOOTBALL CLUB,MY5786,00109065
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,COSWAY SPORTS SDN. BHD.,MY5787,133572-X
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,DRAGON DISCOVERY SDN. BHD.,MY5788,598512-M
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,ECO PALM PAPER SDN. BHD.,MY5789,704625-W
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,EMEDIFILE SDN. BHD.,MY5790,589801-X
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,GANDA KUAT SDN BHD,MY5791,138144-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,HARUM MULIA SDN. BHD.,MY5792,860240-M
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,HIGH-5 CONGLOMERATE BERHAD,MY5793,277977-X
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,HOTEL RESORT ENTERPRISE SDN. BHD.,MY5794,118492-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,IKATAN JAUHARI SDN. BHD.,MY5795,769331-W
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,ILHAM OMBAK SDN. BHD.,MY5796,338991-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,INDAH JAYA PLANTATIONS SDN. BHD.,MY5797,201355-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,INTAN UTILITIES BERHAD,MY5798,371677-T
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,JENAMA GEMILANG SDN. BHD.,MY5799,348224-X
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,JITUMAJU SDN. BHD.,MY5800,108727-D
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,KEMAJUAN PAKATAN SDN.BHD.,MY5801,108756-U
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,KONINKLIJKE VOETBALCLUB KORTRIJK,MY5802,KVKORT
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,LOS ANGELES FOOTBALL CLUB,MY5804,LAFOOTC
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,LUXURY YACHT CHARTER SDN. BHD.,MY5805,670694-P
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,MEGAH SERUMPUN JAYA SDN. BHD.,MY5806,158667-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,MOL.COM BERHAD,MY5803,90314-P
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,NASIONCOM HOLDINGS BHD.,MY5807,613306-W
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,NOSTALGIA KIARA SDN. BHD.,MY5808,379928-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,PLANVEX GROUP SDN. BHD.,MY5809,973733-A
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,POWERACE COMMUNICATIONS NETWORK SDN. BHD.,MY5810,201025-M
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,PRIME JAYA ENTERPRISE SDN BHD,MY5811,37922-P
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,RENUNG NUSANTARA (M) SDN. BHD.,MY5812,643570-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,SARAJEVO FOOTBALL CLUB,MY5813,SARAFC
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,SUASANA JUARA SDN. BHD.,MY5814,1001136-V
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,SUPERIOR STRUCTURE SDN. BHD.,MY5815,217720-K
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,TANJUNG TERANG SDN. BHD.,MY5816,199903-V
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,TIOMAN HILL RESORT SDN.BHD.,MY5817,164248-P
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,TRUE ASCEND SDN BHD,MY5818,1232851-P
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,U TELEMEDIA SDN. BHD.,MY5819,796537-P
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,UNITED PRIME CORPORATION SDN. BHD.,MY5820,57390-V
TAN SRI DATO'SERI VINCENT TAN CHEE YIOUN,UPBIT MALAYSIA SDN BHD,MY5821,1278816-X
TAN SWEE NGIN,INNOVATION (CHINA) LIMITED,SG865G,HK0768071
TAN THIAN HWEE,LUM CHANG HOLDINGS LIMITED,SGUnknown,198203949N
TANG WOON EE,LUM CHANG HOLDINGS LIMITED,SG155J,198203949N
TANJUNG TERANG SDN. BHD.,,199903-V,
TAO BREWERY PTE. LTD.,,201708006E,
TEO SWAY HEONG,JUMBO GROUP LIMITED,SG294H,201503401Z
TER KIM CHEU,KIMLY LIMITED,SG545E,201613903R
THONG KWOK KHEONG,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG720J,200411055E
TIMOTHY COOK DRAPER & MELISSA PARKER DRAPER,CLEARBRIDGE HEALTH LIMITED,SGUnknown,201001436C
TIOMAN HILL RESORT SDN.BHD.,,164248-P,
TRAUWIN PTE. LIMITED,BIOLIDICS LIMITED.,201301453E,200913076M
TRAVELGURU,,SG53268034X,
TRINITY CORPORATE RECOVERY PTE. LTD.,,200409065K,
TRUE ASCEND SDN BHD,,1232851-P,
TUNG LOK CATERING,,53135624L,
TUNG LOK MILLENIUM PTE LTD,TUNG LOK CATERING,200006691H,53135624L
TWENTYSIXMORONT CORP. ,BUSY BEES ASIA PTE. LTD.,T14UF5161J,201432726W
U TELEMEDIA SDN. BHD.,,796537-P,
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,INNOPAC HOLDINGS LIMITED,196800520N,197301788K
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,JUMBO GROUP LIMITED,196800520N,201503401Z
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,KEPPEL DC REIT MANAGEMENT PTE. LTD.,196800520N,199508930C
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,KS ENERGY LIMITED,196800520N,198300104G
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,LUM CHANG HOLDINGS LIMITED,196800520N,198203949N
UNITED PRIME CORPORATION SDN. BHD.,,57390-V,
UOB KAY HIAN PRIVATE LIMITED,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,,200411055E
UOB KAY HIAN PRIVATE LIMITED,CNMC GOLDMINE HOLDINGS LIMITED,197000447W,201119104K
UOB KAY HIAN PRIVATE LIMITED,INNOPAC HOLDINGS LIMITED,197000447W,197301788K
UOB KAY HIAN PRIVATE LIMITED,KATRINA GROUP LTD.,197000447W,201608344N
UOB KAY HIAN PRIVATE LIMITED,KEPPEL DC REIT MANAGEMENT PTE. LTD.,197000447W,199508930C
UOB KAY HIAN PRIVATE LIMITED,KIMLY LIMITED,197000447W,201613903R
UOB KAY HIAN PRIVATE LIMITED,KS ENERGY LIMITED,197000447W,198300104G
UOB KAY HIAN PRIVATE LIMITED,LUM CHANG HOLDINGS LIMITED,197000447W,198203949N
UPBIT MALAYSIA SDN BHD,,1278816-X,
VANDA 1 INVESTMENTS PTE LTD,KIMLY LIMITED,201427707G,201613903R
VIRTUAL LIFE,,SG52891815W,
WANG DA INVESTMENTS LIMITED,,BVIWANGD,
WANG ZHAO PING,INNOPAC HOLDINGS LIMITED,SGunknown,197301788K
WEALTH INVEST PTE. LTD.,,201431997K,
WEE TIAN CHWEE JEFFREY,KIMLY LIMITED,SG933B,201613903R
WELCOMEFIVE,,SG53195326B,
WENDY CHEN,OMNISTREAM PTE. LTD.,SG277W,201720105N
WHATSAPP NETWORK,,53387520W,
WONG CHI WAI ROY (HUANG ZHIWEI),CLEARBRIDGE HEALTH LIMITED,SG725I,201001436C
WONG CHIN YONG,INNOPAC HOLDINGS LIMITED,SG733D,197301788K
WONG HONG KOON,KIMLY LIMITED,SG247J,201613903R
WONG LEE JUAN,INNOPAC HOLDINGS LIMITED,SG773G,197301788K
WONG SEK PUN,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SGunknown,200411055E
WONG SIEW CHEONG,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SGunknown,200411055E
WONG SIEW CHEONG,CHONG MEE CHIN ,,200411055E
WONG YEW HOONG,EU HOLIDAYS PTE. LTD.,SGunknown,201022285W
XPLISITE SOLUTIONS,,SG52947046B,
XPLISITE SOLUTIONS PTE. LTD.,,200407170K,
XU DEHAN ,CNMC GOLDMINE HOLDINGS LIMITED,SGUnknown,201119104K
YAO HSIAO TUNG,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG741A,200411055E
YAP HOON HONG,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG785B,200411055E
YEE SOON FOOD HOUSE PTE. LTD.,,200202011C,
YEO HIAP SENG LTD,YHS INVESTMENT PTE. LTD.,195500138Z,199406507E
YEO HUNG HEE BENJAMIN,CNMC GOLDMINE HOLDINGS LIMITED,SG471B,201119104K
YEO KHEE SENG,HC SURGICAL SPECIALISTS LIMITED,SG766C,201533429G
YEO KHEE SENG BENNY,CLEARBRIDGE HEALTH LIMITED,SG766C,201001436C
YEO NAK KEOW,NO SIGNBOARD HOLDINGS LTD.,SG366G,201715253N
YHS INVESTMENT PTE. LTD.,NO SIGNBOARD HOLDINGS LTD.,199406507E,201715253N
YISHUN 233 FOOD HOUSE PTE. LTD.,,200718004R,
"YONG YUN PTE. LTD.	",,201621813Z,
YOU DER CHEE,EXCEL-ANN TECHNOLOGY PTE. LTD.,SG704B,201707817H
YU HEA RYEONG,KS ENERGY LIMITED,SG809F,198300104G
